Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,,"batch_size=32, lr = 0.01",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,"batch_size=32,lr=1e-4",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
,,,,,,,,,,,94,0.662,0.01,0.59666,86.9561,97.0431,5.00E-09,,,,,,,,,
,,,,,,,,,,,95,0.662,0.01,0.59731,86.9456,96.76,5.00E-09,,,,,,,,,
,,,,,,,,,,,96,0.661,0.01,0.59298,86.8512,97.0221,5.00E-09,,,,,,,,,
,,,,,,,,,,,97,0.661,0.01,0.60361,86.61,97.0012,5.00E-09,,,,,,,,,
,,,,,,,,,,,98,0.661,0.01,0.60803,86.5262,96.739,5.00E-09,,,,,,,,,
,,,,,,,,,,,99,0.663,0.012,0.59834,86.7359,96.8544,5.00E-09,,,,,,,,,
,,,,,,,,,,,100,0.661,0.009,0.60954,86.5996,96.6866,5.00E-09,,,,,,,,,
,,,,,,,,,,,101,0.66,0.01,0.58192,86.9351,97.2528,5.00E-09,,,,,,,,,
,,,,,,,,,,,102,0.661,0.009,0.59906,86.9666,96.8753,5.00E-09,,,,,,,,,
,,,,,,,,,,,103,0.661,0.01,0.58463,86.8302,97.085,5.00E-09,,,,,,,,,
,,,,,,,,,,,104,0.661,0.01,0.61353,86.1906,96.5503,5.00E-09,,,,,,,,,
,,,,,,,,,,,105,0.661,0.009,0.60644,86.2116,97.0012,5.00E-09,,,,,,,,,
,,,,,,,,,,,106,0.66,0.01,0.61253,86.4213,96.6866,5.00E-09,,,,,,,,,
,,,,,,,,,,,107,0.662,0.011,0.59154,86.977,96.9382,5.00E-09,,,,,,,,,
,,,,,,,,,,,108,0.661,0.01,0.59734,86.5157,96.76,5.00E-09,,,,,,,,,
,,,,,,,,,,,109,0.661,0.01,0.59404,86.7359,96.9802,5.00E-09,,,,,,,,,
,,,,,,,,,,,110,0.661,0.01,0.59572,86.8932,96.8753,5.00E-09,,,,,,,,,
,,,,,,,,,,,111,0.661,0.01,0.58673,86.7883,97.2633,5.00E-09,,,,,,,,,
,,,,,,,,,,,112,0.661,0.01,0.60532,86.2955,96.8334,5.00E-09,,,,,,,,,
,,,,,,,,,,,113,0.661,0.01,0.61123,86.2431,96.6971,5.00E-09,,,,,,,,,
,,,,,,,,,,,114,0.661,0.01,0.59986,86.5157,97.0012,5.00E-09,,,,,,,,,
,,,,,,,,,,,115,0.661,0.01,0.61002,86.5576,96.781,5.00E-09,,,,,,,,,
,,,,,,,,,,,116,0.661,0.01,0.61152,86.5891,96.6342,5.00E-09,,,,,,,,,
,,,,,,,,,,,117,0.661,0.01,0.60754,86.5681,96.781,5.00E-09,,,,,,,,,
,,,,,,,,,,,118,0.662,0.011,0.60222,86.8302,97.0641,5.00E-09,,,,,,,,,
